name,rating,ratedby,price
"Thorogood 863-4200 Men's Veracity GTX 8"" Waterproof Hunting Boot, Brown/Mossy Oak - 9.5 D(M) US",5.0/5,1.0,50.0
adidas Women's Terrex Trailrider GTX Trail Running Shoes,3.4/5,10.0,76.0
Merrell Agility Peak 5 GTX®,5.0/5,5.0,127.0
Lowa Men's Renegade GTX Mid Hiking Boot,4.6/5,852.0,226.0
Merrell Agility Peak 5 GTX®,5.0/5,5.0,127.0
HOKA ONE ONE Anacapa 2 Mid GTX Mens Shoes,3.5/5,8.0,
Teva Men's Grandview GTX Low Hiking Shoe,4.3/5,6.0,114.0
Zamberlan 217 Free Blast GTX,4.1/5,16.0,229.0
ALTRA womens Timp Hiker Gtx,4.7/5,5.0,184.0
Vasque Men's Torre AT GTX Hiking Boot,4.2/5,27.0,113.0
Lowa Men's Zephyr GTX Mid TF Hiking Boot,4.5/5,301.0,259.0
ASOLO Tahoe GTX Hiking Shoes - Men's,4.8/5,10.0,94.0
Salomon Women's Speedcross 6 GTX Sneaker,3.9/5,21.0,169.0
"LOWA Men's Renegade GTX Mid Hiking Boot (Deep Black, numeric_13)",,,
SCARPA Men's Zodiac Plus GTX Waterproof Gore-Tex Boots for Backpacking and Hiking,4.3/5,124.0,299.0
Lowa Men's Tibet GTX Trekking Boot,4.7/5,252.0,314.0
HOKA ONE ONE Women's Trekking Shoes,4.4/5,28.0,177.0
Merrell Moab 3 Mid GTX® Sedona Sage 10.5 M,4.7/5,9.0,
Merrell Women's Modern Hiking Boot,4.3/5,67.0,83.0
New Balance Women's Dynasoft Nitrel V5 GTX Trail Running Shoe,4.1/5,89.0,84.0
Salomon Speedcross 6 Forces Trail Running Shoes,4.7/5,498.0,165.0
Lowa Men's Tibet GTX Trekking Boot,4.7/5,252.0,314.0
Merrell Moab 3 Mid GTX® Sedona Sage 10.5 M,4.7/5,9.0,
New Balance Women's Dynasoft Nitrel V5 GTX Trail Running Shoe,4.1/5,89.0,84.0
Merrell Women's Modern Hiking Boot,4.3/5,67.0,83.0
La Sportiva Mens Ultra Raptor II Mid Leather GTX Waterproof Hiking Boots,4.2/5,30.0,198.0
ASICS Women's Gel-Sonoma 7 Running Shoes,4.5/5,25.0,69.0
"Danner Tachyon GTX 8” Tactical Boots for Men - Waterproof Full-Grain Leather & 500D Nylon with Speed Lace, Comfort Footbed, and Non Slip Traction Outsole",4.6/5,1732.0,189.0
Arc'teryx Sylan GTX Shoe Men's | Gore-Tex Mountain Running Shoe Built for Speed,4.0/5,2.0,230.0
La Sportiva Mens Trango Tech Leather GTX Mountaineering/Hiking Boots,4.4/5,84.0,278.0
"Arc'teryx Men's Norvan LD 3 GTX Shoe Ultimate Trail Running Shoes for Men, Ideal for Long Distances and Diverse Weather - Men's Running Shoes with Gore-Tex",2.9/5,9.0,200.0
"SGUS80007 Phoenix GTX BOA® Safety Shoe, Size 9",4.2/5,16.0,309.0
Salomon Women's X Ultra 4 Gore-tex Hiking Shoes,4.3/5,194.0,150.0
ALTRA Men's Timp Hiker GTX Hiking Shoe,5.0/5,1.0,184.0
Salomon X Ultra 4 GTX® Slate Green/Olive Night/Black 10.5 D (M),,,
Teva Women's Grandview GTX Hiking Boot,4.9/5,13.0,172.0
La Sportiva Mens Ultra Raptor II Mid Leather GTX Waterproof Hiking Boots,4.2/5,30.0,210.0
Inov-8 Men's Roclite™ G 345,4.3/5,7.0,79.0
Nike Air Max 90 GTX Mens Shoes,4.0/5,139.0,169.0
La Sportiva NEPAL CUBE GTX Women's Hiking Shoe,3.3/5,5.0,648.0
Teva Women's Grandview GTX Hiking Boot,4.9/5,13.0,172.0
Asolo Women's Stynger GTX Light Hiking and Trekking Boots,5.0/5,5.0,150.0
Salomon Women's X Ultra 4 Mid GTX W Hiking,4.5/5,190.0,174.0
Saucony Women's Peregrine 12 Gore Tex Running Shoe,4.2/5,139.0,77.0
Salomon Outpulse Mid Gore-Tex for Women Hiking Shoe,4.5/5,27.0,101.0
Merrell Moab 3 GTX® Granite 8.5 M,4.5/5,2.0,135.0
Arc'teryx Aerios GTX Shoe Women's | Fast and Light Gore-Tex Hiking Shoe,4.5/5,9.0,180.0
Vasque Women's Torre AT GTX Hiking Boot,4.2/5,9.0,114.0
Arc'teryx Sylan GTX Shoe Women's | Gore-Tex Mountain Running Shoe Built for Speed,,,230.0
Salomon X Ultra 4 Mid GTX Hiking Shoe - Women's Quarry/Black/Legion Blue,4.1/5,16.0,125.0
Vasque Women's St. Elias FG GTX Hiking Boot,4.3/5,82.0,104.0
ASICS Women's Gel-Pulse 14 GTX Running Shoes,5.0/5,2.0,59.0
La Sportiva NEPAL CUBE GTX Women's Hiking Shoe,3.3/5,5.0,648.0
Salomon Outpulse Mid Gore-Tex for Women Hiking Shoe,4.5/5,27.0,101.0
Women's Rush Mid 2 GTX Waterproof Gore-Tex Boots for Hiking,3.7/5,5.0,218.0
La Sportiva NEPAL CUBE GTX Hiking Shoe,5.0/5,14.0,648.0
Merrell Moab 3 GTX® Granite 8.5 M,4.5/5,2.0,135.0
Vasque Women's Torre AT GTX Hiking Boot,4.2/5,9.0,114.0
Arc'teryx Aerios GTX Shoe Women's | Fast and Light Gore-Tex Hiking Shoe,4.5/5,9.0,180.0
Vasque Women's St. Elias FG GTX Hiking Boot,4.3/5,82.0,104.0
ASICS Women's Gel-Pulse 14 GTX Running Shoes,5.0/5,2.0,59.0
